Address,district,beat,grid,crimedescr,ucr_ncic_code
3RD ST / O ST,3,3A        ,762,23152(A) VC DUI-ALCOHOL/DRUGS,5404
27TH ST / J ST,3,3B        ,738,TRAFFIC-ACCIDENT INJURY,5400
8TH ST / L ST,3,3M        ,742,DUI I RPT,7000
7850 COLLEGE TOWN DR,3,3C        ,888,484 PETTY THEFT/LICENSE PLATE,2399
63RD ST / JANSEN DR,6,6B        ,1402,23152(A) VC DUI-ALCOHOL/DRUGS,5404
11 ALCANON CT,1,1B        ,353,459 PC  BURGLARY VEHICLE,2299
TRUXEL RD / SAGINAW CIR,1,1B        ,414,10851(A)VC TAKE VEH W/O OWNER,2404
2600 N ST,3,3B        ,768,459 PC  BURGLARY VEHICLE,2299
4740 BECKET WAY,5,5B        ,1631,459 PC  BURGLARY RESIDENCE,2204
CALVINE RD / CENTER PKWY,5,5C        ,1645,243(D) PC BATT/CIVILIAN W/INJ,1315
6625 VALLEY HI DR,5,5C        ,1623,10851(A)VC TAKE VEH W/O OWNER,2404
RAINBOW AVE / HOWE AVE,2,2C        ,558,246.3 PC NEGL DISCH FIREARM,5213
2500 FLORIN RD,5,5A        ,1363,487(A) PC GRAND THEFT,2303
3012 ALBATROSS WAY,2,2C        ,567,CASUALTY REPORT,7000
1426 BREWERTON DR,1,1B        ,435,246 PC SHOOT OCCUP DWELL/VEH,5213
FRONT ST / K ST,3,3M        ,741,LOST PROPERTY - I RPT,7000
3807 24TH AVE,6,6A        ,1071,CASUALTY REPORT,7000
EMPRESS ST / ARDEN WAY,2,2C        ,603,11351.5 HS POSS SALE RCK COCAI,3532
1415 L ST,3,3M        ,745,211 PC  ROBBERY UNSPECIFIED,1299
2737 SCREECH OWL WAY,1,1A        ,344,594(B)(2)(A) VANDALISM/ -$400,2999
1900 CANTERBURY RD,2,2C        ,613,243(E)1 BATTERY NONCOHAB SPOUS,1315
7769 AMHERST ST,5,5A        ,1501,10851(A)VC TAKE VEH W/O OWNER,2404
100 ROCKMONT CIR,1,1A        ,103,594(B)(2)(A) VANDALISM/ -$400,2999
8032 TORRENTE WAY,5,5B        ,1618,459 PC  BURGLARY RESIDENCE,2204
POWER INN RD / ELDER CREEK RD,6,6C        ,1406,TRAFFIC-ACCIDENT-NON INJURY,5400
1125 ALHAMBRA BLVD,3,3C        ,841,475(C) PASS FORGED NOTE,2506
4128 NORWOOD AVE,2,2A        ,233,245(A)(2) AWDW/FIREARM/CIVILIA,1315
HONOR PKWY / REGENCY PARK CIR,1,1A        ,106,11377(A)HS POSS AMPHETAMINES,3572
3 CLOE CT,1,1A        ,115,487(A) GRAND THEFT-INSIDE,2308
8454 COEBURN ST,5,5C        ,1644,459 PC  BURGLARY VEHICLE,2299
5620 34TH AVE,6,6B        ,1401,459 PC  BURGLARY VEHICLE,2299
BROADWAY / 16TH ST,4,4A        ,906,TRAFFIC-ACCIDENT-NON INJURY,5400
1414 43RD ST,3,3C        ,844,484 PC   PETTY THEFT/INSIDE,2308
FLORIN RD / MUNSON WAY,5,5B        ,1359,TOWED/STORED VEH-14602.6,7000
1 CLAUSS CT,6,6B        ,1084,10851(A)VC TAKE VEH W/O OWNER,2404
MACK RD / CENTER PKWY,5,5B        ,1606,20002(A) HIT/RUN,5401
1426 I ST,3,3M        ,735,5150 WI DANGER SELF/OTHERS,7000
MACK RD / CENTER PKWY,5,5B        ,1606,TOWED/STORED VEHICLE,7000
1236 EL ENCANTO WAY,4,4C        ,1278,487(A) PC GRAND THEFT,2303
2801 L ST,3,3B        ,748,IMPOUNDED VEHICLE,7000
2884 DEL PASO BLVD,2,2B        ,564,10851(A)VC TAKE VEH W/O OWNER,2404
J ST / 29TH ST,3,3B        ,738,20002(A) HIT/RUN,5401
2518 HAWTHORNE ST,2,2B        ,551,459 PC  BURGLARY RESIDENCE,2204
AZEVEDO DR / YARWOOD WAY,1,1B        ,411,PERSON INFORMATION - I RPT,7000
6021 WILKINSON ST,6,6C        ,1404,653M(B) PC ANNOY/RPT CALL HOME,5307
1200 ROANOKE AVE,2,2A        ,514,459 PC  BURGLARY VEHICLE,2299
RIO LINDA BLVD / MAIN AVE,2,2A        ,224,20002(A) HIT/RUN,5401
398 FLORIN RD,4,4C        ,1259,211 PC ROBBERY- BUSINESS,1299
525 EXCHANGE ST,2,2A        ,213,CASUALTY REPORT,7000
535 LAMPASAS AVE,2,2B        ,552,594(B)(2)(A) VANDALISM/ -$400,2999
12 GRAND CANYON CT,1,1A        ,136,LOST PROPERTY - I RPT,7000
3709 PRESIDIO ST,2,2A        ,516,LOST PROPERTY - I RPT,7000
FLORIN RD / FRANKLIN BLVD,5,5B        ,1359,LOST PROPERTY - I RPT,7000
3615 33RD ST,6,6A        ,1041,484J PC PUBLISH CARD INFO,2605
2324 NORTH AVE,2,2A        ,237,LOST PROPERTY - I RPT,7000
2800 CHATEAU MONTELENA WAY,1,1A        ,333,530 PC FALSE PERS. REC PROP,2604
1820 FRIENZA AVE,2,2C        ,568,459 PC  BURGLARY BUSINESS,2203
2230 J ST,3,3B        ,747,1708 US   THEFT OF MAIL,2310
6581 HARMON DR,4,4C        ,1252,LOST PROPERTY - I RPT,7000
6054 RIVERSIDE BLVD,4,4C        ,1251,530.5 PC USE PERSONAL ID INFO,2604
1545 RIVER PARK DR,2,2C        ,626,484 PETTY THEFT CLOUT UNLOCKED,2305
1287 TRAIL END WAY,1,1B        ,403,484G(B) PC ACCESS CARD FRAUD,2605
2215 BORONA WAY,1,1B        ,410,530 PC FALSE PERS. REC PROP,2604
6 SHELTER POINT CT,4,4C        ,1262,TELEPEST -I RPT,7000
970 FRIENZA AVE,2,2B        ,564,SUSP PERS-NO CRIME - I RPT,7000
1631 W EL CAMINO AVE,1,1B        ,434,530 PC FALSE PERS. REC PROP,2604
SWEET PEA WAY / SHADY ARBOR CT,1,1B        ,473,10851 VC AUTO THEFT LOCATE,2404
RIO LINDA BLVD / MAIN AVE,2,2A        ,224,TOWED/STORED VEHICLE,7000
5878 KAHARA CT,4,4C        ,1225,653M(B) PC ANNOY/RPT CALL HOME,5307
18 GODELLO CT,1,1B        ,353,242 PC  BATTERY CIVILIAN,1313
7850 COLLEGE TOWN DR,3,3C        ,888,11377(A)HS POSS AMPHETAMINES,3572
4947 KOKOMO DR,1,1A        ,123,TOWED/STORED VEHICLE,7000
HOWE AVE / AMERICAN RIVER DR,3,3C        ,877,TOWED/STORED VEHICLE,7000
4650 NATOMAS BLVD,1,1A        ,145,506 PC EMBEZZLEMENT/CONTRACTOR,2799
3724 SAN CARLOS WAY,6,6A        ,1042,MISSING PERSON I RPT,7000
4410 CRESTWOOD WAY,4,4A        ,1205,BURGLARY - I RPT,7000
1500 TESSA AVE,2,2B        ,546,TOWED/STORED VEHICLE,7000
7500 HOSPITAL DR,5,5C        ,1639,THREATS - I RPT,7000
8545 FOLSOM BLVD,3,3C        ,1116,MISSING PERSON,7000
8105 PHINNEY DR,5,5B        ,1618,459 PC  BURGLARY RESIDENCE,2204
401 J ST,3,3M        ,732,594(B)(2)(A) VANDALISM/ -$400,2999
3632 52ND ST,6,6B        ,1054,459 PC  BURGLARY RESIDENCE,2204
SAN FRANCISCO BLVD / 50TH ST,6,6B        ,1064,11364 HS POSS DRUG PARAPH,3599
5524 DANJAC CIR,4,4A        ,1207,TOWED/STORED VEHICLE,7000
2571 ALTOS AVE,2,2B        ,552,CASUALTY REPORT,7000
414 K ST,3,3M        ,742,484 PETTY THEFT-SHOPLIFT,2303
7486 CARELLA DR,5,5A        ,1381,MISSING PERSON,7000
7TH ST / J ST,3,3M        ,732,11364 HS POSS DRUG PARAPH,3599
5701 LERNER WAY,5,5C        ,1605,MISSING PERSON,7000
1321 E ST,3,3A        ,715,HARASSMENT - I RPT,7000
1912 BOWLING GREEN DR,2,2C        ,606,O/S AGENCY -ASSISTANCE- I RPT,7000
3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000
7526 TITIAN PKWY,5,5B        ,1603,10851(A)VC TAKE VEH W/O OWNER,2404
12 WATERGLEN CIR,3,3C        ,899,487(D)GRAND THEFT FIREARM/ANIM,2399
4733 NASHUA WAY,2,2A        ,222,484G(B) PC ACCESS CARD FRAUD,2605
971 ACACIA AVE,2,2B        ,544,LOST PROPERTY - I RPT,7000
3146 PALMER ST,2,2B        ,546,530.5 PC USE PERSONAL ID INFO,2604
8178 CENTER PKWY,5,5B        ,1633,653M(A) PC OBSCENE/THREAT CALL,5309
1820 FRIENZA AVE,2,2C        ,568,459 PC  BURGLARY BUSINESS,2203
1689 ARDEN WAY,2,2C        ,619,647(A) PC LEWD CONDUCT,7299
1029 FRIENZA AVE,2,2B        ,564,TOWED/STORED VEHICLE,7000
5770 FREEPORT BLVD,4,4C        ,985,GANG ACTIVITY - I RPT,7000
1113 CONGRESS AVE,2,2B        ,525,11364 HS POSS DRUG PARAPH,3599
3421 AUBURN BLVD,2,2A        ,508,459 PC  BURGLARY-UNSPECIFIED,2299
560 SANDBURG DR,3,3C        ,879,530.5 PC USE PERSONAL ID INFO,2604
7608 AMHERST ST,5,5A        ,1501,HARASSMENT - I RPT,7000
3801 DUCKHORN DR,1,1A        ,333,422 PC THREAT/INTENT TO TERROR,1602
5TH ST / P ST,3,3A        ,763,CASUALTY REPORT,7000
7301 MEADOWGATE DR,5,5B        ,1369,10851(A)VC TAKE VEH W/O OWNER,2404
5518 SAGPOND WAY,1,1A        ,102,484J PC PUBLISH CARD INFO,2605
33RD ST / 11TH AVE,6,6A        ,1041,20001(A) VC HIT/RUN INJ/DEATH,5401
35 QUAY CT,4,4C        ,1265,10851(A)VC TAKE VEH W/O OWNER,2404
1814 19TH ST,3,3A        ,776,484 PETTY THEFT-SHOPLIFT,2303
2505 52ND AVE,4,4B        ,1346,LOST PROPERTY - I RPT,7000
5770 FREEPORT BLVD,4,4C        ,985,FOUND PROPERTY - I RPT,7000
1751 BELL AVE,2,2A        ,226,TOWED/STORED VEHICLE,7000
3661 TRUXEL RD,1,1A        ,337,484 PC   PETTY THEFT/INSIDE,2308
3904 MAY ST,2,2A        ,504,MISSING PERSON,7000
1650 BAINES AVE,1,1A        ,136,459 PC  BURGLARY RESIDENCE,2204
6272 MACK RD,5,5C        ,1623,487(A) PC GRAND THEFT,2303
8389 FOLSOM BLVD,3,3C        ,1115,484 PC   PETTY THEFT/INSIDE,2308
FOLSOM BLVD / WATT AVE,3,3C        ,1106,NON INJ HR/MAIL OUT REPORT,7000
1801 BELL AVE,2,2A        ,226,TOWED/STORED VEHICLE,7000
2314 Q ST,3,3B        ,767,TRAFFIC-ACCIDENT-NON INJURY,5400
2340 MOSSY BANK DR,1,1B        ,444,10851(A)VC TAKE VEH W/O OWNER,2404
8101 COSUMNES RIVER BLVD,5,5C        ,1639,11364 HS POSS DRUG PARAPH,3599
J ST / 17TH ST,3,3M        ,736,TRAFFIC-ACCIDENT-NON INJURY,5400
8200 CENTER PKWY,5,5B        ,1633,10851(A)VC TAKE VEH W/O OWNER,2404
6421 SUN RIVER DR,6,6C        ,1445,484 PETTY THEFT/LICENSE PLATE,2399
3715 IVY ST,2,2A        ,516,459 PC  BURGLARY RESIDENCE,2204
3157 BRIDGEFORD DR,1,1C        ,416,LOST PROPERTY - I RPT,7000
11TH ST / F ST,3,3A        ,724,197 JUSTIFIABLE HOMI-CIVILIAN,999
17TH ST / Q ST,3,3B        ,766,TRAFFIC-ACCIDENT-NON INJURY,5400
FRUITRIDGE RD / 53RD ST,6,6B        ,1084,20001(A) VC HIT/RUN INJ/DEATH,5401
5301 FRUITRIDGE RD,6,6B        ,1084,23153(A) VC DUI CAUSE INJURY,5404
2890 GROVE AVE,2,2B        ,541,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
2828 CONNIE DR,2,2C        ,567,MISSING PERSON,7000
3700 32ND ST,6,6A        ,1051,594(B)(1)PC  VANDALISM +$400,2999
1632 BROADWAY,4,4A        ,906,594(B)(2)(A) VANDALISM/ -$400,2999
1729 DIGGS PARK DR,2,2B        ,537,TRAFFIC-ACCIDENT-NON INJURY,5400
5301 FRUITRIDGE RD,6,6B        ,1084,TOWED/STORED VEHICLE,7000
2700 DEL PASO RD,1,1A        ,305,484 PETTY THEFT-SHOPLIFT,2303
7290 FRANKLIN BLVD,5,5B        ,1369,211 PC  ROBBERY UNSPECIFIED,1299
700 N 5TH ST,3,3A        ,701,1551(A) FUGITIVE FROM JUSTICE,4902
321 ELEANOR AVE,2,2B        ,541,MISSING PERSON,7000
321 ELEANOR AVE,2,2B        ,541,MISSING PERSON,7000
7659 MASTERS ST,5,5C        ,1654,10851(A)VC TAKE VEH W/O OWNER,2404
3644 DAYTON ST,2,2A        ,517,459 PC  BURGLARY VEHICLE,2299
2800 BROADWAY,4,4A        ,908,484 PC   PETTY THEFT/INSIDE,2308
1418 E ST,3,3A        ,725,MISCELLANEOUS I RPT (ZMISC),7000
3514 37TH ST,6,6A        ,1041,459 PC  BURGLARY VEHICLE,2299
227 JIBBOOM ST,3,3A        ,721,484 PC   PETTY THEFT/INSIDE,2308
78 REDWOOD AVE,2,2C        ,601,10851(A)VC TAKE VEH W/O OWNER,2404
3311 LONG BRANCH CT,1,1B        ,401,459 PC  BURGLARY VEHICLE,2299
1601 ARDEN WAY,2,2C        ,618,459 PC  BURGLARY VEHICLE,2299
1701 13TH ST,3,3A        ,765,TELEPEST -I RPT,7000
7770 52ND AVE,6,6C        ,1445,459 PC  BURGLARY RESIDENCE,2204
2621 STONECREEK DR,1,1B        ,435,THREATS - I RPT,7000
EL CAMINO AVE / GROVE AVE,2,2C        ,551,TOWED/STORED VEHICLE,7000
3200 TRUXEL RD,1,1C        ,414,THREATS - I RPT,7000
2540 VENTURE OAKS WAY,1,1B        ,442,10851(A)VC TAKE VEH W/O OWNER,2404
1732 ELDRIDGE AVE,2,2B        ,556,487(A) GRAND THEFT-INSIDE,2308
23RD ST / Q ST,3,3B        ,767,20001(A) VC HIT/RUN INJ/DEATH,5401
NORTHGATE BLVD / ROSIN CT,1,1C        ,409,20002(A) HIT/RUN,5401
5530 STOCKTON BLVD,6,6B        ,1084,12020(A)(4) PC DIRK/DAGGER,5212
FRANKLIN BLVD / FLORIN RD,5,5B        ,1359,20001(A) VC HIT/RUN INJ/DEATH,5401
1609 BOWLING GREEN DR,2,2C        ,606,10851(A)VC TAKE VEH W/O OWNER,2404
1422 BREWERTON DR,1,1B        ,435,10851(A)VC TAKE VEH W/O OWNER,2404
2000 DEL PASO BLVD,2,2C        ,603,11364 HS POSS DRUG PARAPH,3599
MCGLASHAN ST / PERRY AVE,6,6B        ,1084,20002(A) HIT/RUN,5401
PERRY AVE / 46TH ST,6,6B        ,1084,20002(A) HIT/RUN,5401
8552 ERINBROOK WAY,3,3C        ,899,459 PC  BURGLARY VEHICLE,2299
4100 NORTHGATE BLVD,1,1C        ,309,459 PC  BURGLARY VEHICLE,2299
7901 34TH AVE,6,6C        ,1405,594(B)(2)(A) VANDALISM/ -$400,2999
630 JESSIE AVE,2,2A        ,233,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
4 WAYNE CT,6,6C        ,1409,VANDALISM - I RPT,7000
3800 STOCKTON BLVD,6,6A        ,1053,10851(A)VC TAKE VEH W/O OWNER,2404
5907 BAMFORD DR,5,5C        ,1623,11364 HS POSS DRUG PARAPH,3599
5425 RIO LINDA BLVD,2,2A        ,203,10851(A)VC TAKE VEH W/O OWNER,2404
2ND ST / I ST,3,3M        ,731,243(D) PC BATT/CIVILIAN W/INJ,1315
23RD ST / J ST,3,3B        ,737,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
2116 MABRY DR,1,1A        ,104,THREATS - I RPT,7000
1906 BOWLING GREEN DR,2,2C        ,606,242 PC  BATTERY CIVILIAN,1313
330 U ST,3,3A        ,782,487(A) PC GRAND THEFT,2303
PRINCETON ST / GLENROSE AVE,2,2C        ,567,10851 VC AUTO THEFT LOCATE,2404
INDIANA AVE / NORTHGATE BLVD,1,1C        ,429,20001(A) VC HIT/RUN INJ/DEATH,5401
LEXINGTON ST / FRIENZA AVE,2,2B        ,564,10851 VC AUTO THEFT LOCATE,2404
65 BRENTFORD CIR,5,5C        ,1635,10851(A)VC TAKE VEH W/O OWNER,2404
VALLEY HI DR / CENTER PKWY,5,5B        ,1623,TOWED/STORED VEH-14602.6,7000
34TH ST / Y ST,6,6A        ,1002,ROBBERY - I RPT,7000
13TH ST / G ST,3,3A        ,725,459 PC  BURGLARY VEHICLE,2299
1311 63RD ST,3,3C        ,847,459 PC  BURGLARY VEHICLE,2299
4911 8TH AVE,6,6B        ,1035,POSS STOLEN VEHICLE- I RPT,7000
3845 SEA FOREST WAY,5,5B        ,1618,487(A) GRAND THEFT-AUTO PARTS,2304
2481 KRAMERIA AVE,1,1A        ,104,459 PC  BURGLARY RESIDENCE,2204
6550 PARK RIVIERA WAY,4,4C        ,1261,594(B)(1)PC  VANDALISM +$400,2999
2531 S ST,3,3B        ,778,594(B)(2)(A) VANDALISM/ -$400,2999
6730 4TH AVE,6,6C        ,1111,484 PC  PETTY THEFT AUTO PART,2304
200 BICENTENNIAL CIR,3,3C        ,1102,594(B)(2)(A) VANDALISM/ -$400,2999
2311 RIVER PLAZA DR,1,1B        ,440,459 PC  BURGLARY VEHICLE,2299
3251 SAN JOSE WAY,6,6A        ,1032,484 PC  PETTY THEFT/ OUTSIDE,2309
12TH AVE / LISSETTA AVE,6,6A        ,1042,529 PC FALSE PERSONATION,2604
3345 MABEL ST,2,2B        ,531,11364 HS POSS DRUG PARAPH,3599
1549 JANRICK AVE,5,5A        ,1501,459 PC  BURGLARY RESIDENCE,2204
4108 WEYMOUTH LN,5,5B        ,1602,VANDALISM - I RPT,7000
621 CLAIRE AVE,2,2A        ,203,459 PC  BURGLARY RESIDENCE,2204
930 43RD AVE,4,4C        ,1253,487(A) GRAND THEFT-AUTO PARTS,2304
SAN JUAN RD / BANDON WAY,1,1B        ,401,496(A) RECEIVE STOLEN PROPERTY,2803
24TH ST / TEEKAY WAY,5,5A        ,1504,11357(B)HS POSS -28.5GR MARIJ,3562
BRUCEVILLE RD / CALVINE RD,5,5C        ,1654,TRAFFIC-ACCIDENT-NON INJURY,5400
2912 CAMARILLO DR,1,1C        ,428,FOUND PROPERTY - I RPT,7000
8461 TAMBOR WAY,5,5C        ,1654,594(B)(1)PC  VANDALISM +$400,2999
6421 RIVERSIDE BLVD,4,4C        ,1262,459 PC  BURGLARY BUSINESS,2203
7553 GREENHAVEN DR,4,4C        ,1296,459 PC  BURGLARY VEHICLE,2299
35TH ST / BROADWAY,6,6A        ,1013,NON INJ HR/MAIL OUT REPORT,7000
15TH ST / C ST,3,3A        ,715,TOWED/STORED VEHICLE,7000
1595 SILICA AVE,2,2C        ,605,TOWED/STORED VEHICLE,7000
ELIZA ST / LOUISE ST,3,3A        ,709,243(E)1 BATTERY NONCOHAB SPOUS,1315
1240 ALDER TREE WAY,4,4C        ,1296,10851(A)VC TAKE VEH W/O OWNER,2404
3205 42ND ST,6,6A        ,1034,459 PC  BURGLARY VEHICLE,2299
1515 NORTH AVE,2,2A        ,505,11364 HS POSS DRUG PARAPH,3599
2801 L ST,3,3B        ,748,484 PETTY THEFT/LICENSE PLATE,2399
2628 27TH ST,4,4A        ,908,290(A)(1)(D) FAIL TO REG-5 DAY,3699
3720 CYPRESS ST,2,2A        ,513,594(B)(1)VANDALISM GRAF +$400,2999
ETHAN WAY / HALLMARK DR,2,2C        ,637,TRAFFIC-ACCIDENT-NON INJURY,5400
4635 POWER INN RD,6,6C        ,1134,10851(A)VC TAKE VEH W/O OWNER,2404
10TH ST / K ST,3,3M        ,744,11350(A)HS POSS CNTRL SUBST,3532
4TH AVE / REDDING AVE,6,6C        ,1114,TOWED/STORED VEHICLE,7000
ROANOKE AVE / BELDEN ST,2,2A        ,514,10851 VC AUTO THEFT LOCATE,2404
212 CHRISTINE DR,2,2B        ,541,290(A)(1)(D) FAIL TO REG-5 DAY,3699
2351 NORTHGATE BLVD,1,1C        ,447,242 PC  BATTERY CIVILIAN,1313
3251 NORTHGATE BLVD,1,1C        ,418,459 PC  BURGLARY VEHICLE,2299
346 LINDLEY DR,2,2B        ,541,MISSING PERSON,7000
2743 ALBATROSS WAY,2,2C        ,567,THREATS - I RPT,7000
7060 ROCK CREEK WAY,6,6C        ,1422,MISSING PERSON,7000
MABEL ST / FORD RD,2,2B        ,531,20001(A) VC HIT/RUN INJ/DEATH,5401
MCNAMARA WAY / BENOIT CT,5,5B        ,1618,10851 VC AUTO THEFT LOCATE,2404
RIO LINDA BLVD / CARMELITA AVE,2,2B        ,523,TRAFFIC-ACCIDENT-NON INJURY,5400
1328 D ST,3,3A        ,715,BATTERY - I RPT,7000
BETTY WAY / CAMELLIA AVE,3,3C        ,872,20002(A) HIT/RUN,5401
2156 CANTALIER ST,2,2C        ,613,MISSING PERSON,7000
2300 G ST,3,3B        ,727,1708 US   THEFT OF MAIL,2310
3824 12TH AVE,6,6A        ,1041,HARASSMENT - I RPT,7000
HAVENSIDE DR / RIVERSIDE BLVD,4,4C        ,1251,11351.5 HS POSS SALE RCK COCAI,3532
W ST / 16TH ST,3,3A        ,785,TOWED/STORED VEH-14602.6,7000
1960 JOAN WAY,2,2C        ,606,10851 VC AUTO THEFT LOCATE,2404
100 CAPITOL MALL,3,3M        ,751,10851(A)VC TAKE VEH W/O OWNER,2404
2305 SANDCASTLE WAY,1,1B        ,444,530.5 PC USE PERSONAL ID INFO,2604
132 OLMSTEAD DR,2,2B        ,531,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
4780 NATOMAS BLVD,1,1A        ,145,459 PC  BURGLARY VEHICLE,2299
RICHARDS BLVD / DOS RIOS ST,3,3A        ,709,487(A) PC GRAND THEFT,2303
5255 MACK RD,5,5B        ,1604,20002(A) HIT/RUN,5401
8775 CENTER PKWY,5,5C        ,1654,20002(A) HIT/RUN,5401
8TH AVE / 44TH ST,6,6A        ,1034,215(A) PC    CARJACKING,1212
1370 RESPONSE RD,2,2C        ,626,459 PC  BURGLARY VEHICLE,2299
5016 12TH AVE,6,6B        ,1054,484 PC  PETTY THEFT/ OUTSIDE,2309
8024 ELDER CREEK RD,6,6C        ,1445,602(K)TRESPASS:INJURE PROPERTY,5707
1701 ARDEN WAY,2,2C        ,619,459 PC  BURGLARY BUSINESS,2203
1690 ARDEN WAY,2,2C        ,628,459 PC  BURGLARY VEHICLE,2299
DOS RIOS ST / RICHARDS BLVD,3,3A        ,709,11377(A)HS POSS AMPHETAMINES,3572
65TH ST / ELVAS AVE,3,3C        ,847,TRAFFIC-ACCIDENT INJURY,5400
3550 MARYSVILLE BLVD,2,2B        ,526,484 PETTY THEFT/LICENSE PLATE,2399
